Name	InvoiceLineId
Um Satélite Na Cabeça	1196
Sangue De Bairro	48
Interlude Zumbi	1770
Criança De Domingo	623
Amor De Muito	49
Amor De Muito	1197
Maracatu Atômico [Trip Hop]	50
Banditismo Por Uma Questa	624
Banditismo Por Uma Questa	1198
Rios Pontes & Overdrives	1771
Samba Makossa	51
Da Lama Ao Caos	625
Maracatu De Tiro Certeiro	1199
Lixo Do Mangue	52
Lixo Do Mangue	1772
Computadores Fazem Arte	626
Soldado Da Paz	1200
Firmamento	53
Extra	627
Podes Crer	1773
Já Foi	54
Onde Você Mora?	628
Pensamento	1201
A Cor Do Sol	55
A Cor Do Sol	1774
Onde Você Mora?	629
Falar A Verdade	1202
Firmamento	56
Doutor	1775
Na Frente Da TV	630
Sábado A Noite	57
Eu Também Quero Beijar	1203
Linha Do Equador	58
Linha Do Equador	1776
Amor Demais	631
Felicidade Urgente	1204
Livre Pra Viver	59
TriboTchan	1777
Tapa Aqui, Descobre Ali	632
Levada do Amor (Ailoviu)	1205
Lavadeira	60
Reggae Tchan	1778
My Love	633
Communication Breakdown	1206
Dazed and Confused	61
Communication Breakdown(2)	1779
Travelling Riverside Blues	634
I Can't Quit You Baby(2)	1207
You Shook Me(2)	62
Carolina Hard-Core Ecstasy	1780
Sam With The Showing Scalp Flat Top	635
Advance Romance	1208
Man With The Woman Head	63
X-9 2001	1781
Gavioes 2001	636
Camisa Verde 2001	1209
Leandro De Itaquera 2001	64
Ipiranga 2001	1782
Morro Da Casa Verde 2001	637
Mas Que Nada	1210
Vôo Sobre o Horizonte	65
Água de Beber	1783
Samba da Bençaco	638
Mistério da Raça	1211
All Star	66
Maria Fumaça	639
Tarde Em Itapoã	1212
Tarde Em Itapoã	1784
Tanto Tempo	67
Tanto Tempo	1785
Eu Vim Da Bahia - Live	1786
Linha Do Horizonte	1787
Only A Dream In Rio	640
Abrir A Porta	1788
Momentos Que Marcam	1789
Um Jantar Pra Dois	1213
Bumbo Da Mangueira	68
Bumbo Da Mangueira	1790
Santo Antonio	1791
Só Tinha De Ser Com Você	641
Só Tinha De Ser Com Você	1792
Turn The Page	1793
Die Die My Darling	69
Astronomy	1794
Whiskey In The Jar	642
Whiskey In The Jar	1214
Tuesday's Gone	1215
The More I See	1216
A Kind Of Magic	1795
Under Pressure	1217
Radio GA GA	70
I Want It All	1218
I Want To Break Free	1796
Innuendo	1219
It's A Hard Life	643
Breakthru	1220
Who Wants To Live Forever	1797
Headlong	1221
I'm Going Slightly Mad	71
I'm Going Slightly Mad	1222
The Invisible Man	1798
The Show Must Go On	1223
Black Diamond	1799
Hard Luck Woman	1224
Sure Know Something	72
Sure Know Something	644
Love Gun	645
Deuce	646
Goin' Blind	1225
Shock Me	647
Shock Me	1800
She	648
I Was Made For Loving You	1226
Shout It Out Loud	649
God Of Thunder	73
Calling Dr. Love	650
Calling Dr. Love	1801
Beth	1227
Strutter	651
Cold Gin	652
Plaster Caster	1228
God Gave Rock 'n' Roll To You	1802
De La Luz	653
Playtime	1229
Surrender	654
Surrender	1803
Valentino's	74
Believe	75
As We Sleep	76
When Evening Falls	655
J Squared	77
J Squared	1230
Best Thing	1804
Maria	78
Poprocks And Coke	656
Longview	79
Basket Case	80
Basket Case	1231
When I Come Around	657
When I Come Around	1805
She	81
Geek Stink Breath	82
Brain Stew	658
Jaded	1232
Walking Contradiction	1806
Stuck With Me	83
Redundant	659
Nice Guys Finish Last	84
Nice Guys Finish Last	1233
Minority	1807
Macy's Day Parade	85
Into The Light	660
River Song	1234
Don't You Cry	86
Slave	1808
Cry For Love	661
Living On Love	87
Living On Love	1235
Wherever You May Go	88
Grito De Alerta	662
Não Dá Mais Pra Segurar (Explode Coração)	1236
Começaria Tudo Outra Vez	1809
Diga Lá, Coração	89
Lindo Lago Do Amor	663
Eu Apenas Queria Que Voçê Soubesse	1237
Comportamento Geral	90
Comportamento Geral	1810
Ponto De Interrogação	664
Um Indio	1238
Podres Poderes	91
Voce Nao Entende Nada - Cotidiano	665
Menino Do Rio	1811
Queixa	92
O Leaozinho	666
Fora Da Ordem	1239
Ando Meio Desligado	93
Ando Meio Desligado	1812
Top Top	667
Chão De Estrelas	1240
Vida De Cachorro	94
Rita Lee	1813
Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll	668
Meu Refrigerador Não Funciona	95
Stormbringer	1241
Smoke On The Water	96
Smoke On The Water	1814
You Fool No One	669
Houses Of The Holy	1242
Trampled Under Foot	97
Beija-Flor	1815
Viradouro	670
Mangueira	1243
União Da Ilha	98
Caprichosos	1816
Tradição	671
Love Of My Life	1244
Put Your Lights On	99
Do You Like The Way	1817
Maria Maria	672
El Farol	1245
Primavera	100
Manuel	1818
Entre E Ouça	673
Um Love	1246
Seis Da Tarde	101
Do You Have Other Loves?	1819
Agora Que O Dia Acordou	674
Jeru	1247
Compulsion	102
'Round Midnight	1820
Bye Bye Blackbird	675
So What	1248
The Pan Piper	103
E.S.P.	1821
Nefertiti	676
Black Satin	1249
Jean Pierre (Live)	104
Going Down / Highway Star	677
Blue Rythm Fantasy	1250
Blue Rythm Fantasy	1822
Drum Boogie	105
Drum Boogie	1823
Let Me Off Uptown	1824
Opus No.1	1825
Boogie Blues	678
How High The Moon	1826
Up An' Atom	1827
Bop Boogie	1251
Lemon Drop	106
Lemon Drop	1828
Overtime	1829
Don't Take Your Love From Me	679
Don't Take Your Love From Me	1830
Jungle Drums	1831
Showcase	107
Pot-Pourri N.º 4	1832
Onde Anda Você	680
Onde Anda Você	1252
Samba Da Volta	1253
Canto De Ossanha	1254
Pot-Pourri N.º 5	1833
Formosa	1255
Como É Duro Trabalhar	108
Minha Namorada	1256
Por Que Será	1834
Berimbau	1257
Deixa	681
Pot-Pourri N.º 2	1258
Samba Em Prelúdio	1835
Carta Ao Tom 74	1259
Pela Luz dos Olhos Teus (Miúcha e Tom Jobim)	109
Pela Luz dos Olhos Teus (Miúcha e Tom Jobim)	1260
Chão de Giz (Elba Ramalho)	1836
Coração do Agreste (Fafá de Belém)	1261
Caçador de Mim (Sá & Guarabyra)	1837
Romaria (Renato Teixeira)	1262
As Rosas Não Falam (Beth Carvalho)	110
As Rosas Não Falam (Beth Carvalho)	682
Wave (Os Cariocas)	683
Garota de Ipanema (Dick Farney)	684
Preciso Apender a Viver Só (Maysa)	1263
Susie Q	685
Susie Q	1838
Proud Mary	686
Bad Moon Rising	1264
Lodi	687
Green River	111
Commotion	688
Commotion	1839
Down On The Corner	1265
Fortunate Son	689
Who'll Stop The Rain	690
Up Around The Bend	1266
Run Through The Jungle	1840
Long As I Can See The Light	691
Hey Tonight	1267
Sweet Hitch-Hiker	692
Sweet Hitch-Hiker	1841
Someday Never Comes	112
Walking On The Water	113
Suzie-Q, Pt. 2	114
Born On The Bayou	693
Good Golly Miss Molly	115
Good Golly Miss Molly	1268
Tombstone Shadow	1842
Wrote A Song For Everyone	116
Night Time Is The Right Time	694
Cotton Fields	117
Don't Look Now	118
Don't Look Now	1269
The Midnight Special	695
The Midnight Special	1843
Before You Accuse Me	119
Pagan Baby	120
(Wish I Could) Hideaway	696
It's Just A Thought	1270
Molina	1844
Born To Move	121
Gatas Extraordinárias	697
Brasil	122
Brasil	1271
Eu Sou Neguinha (Ao Vivo)	1845
Coroné Antonio Bento	123
Você Passa, Eu Acho Graça (Ao Vivo)	698
Meu Mundo Fica Completo (Com Você)	1272
Música Urbana 2	124
Palavras Ao Vento	1846
Não Sei O Que Eu Quero Da Vida	699
Woman Is The Nigger Of The World (Ao Vivo)	125
Woman Is The Nigger Of The World (Ao Vivo)	1273
Smells Like Teen Spirit (Ao Vivo)	126
E.C.T.	700
Todo Amor Que Houver Nesta Vida	1274
Metrô. Linha 743	1847
Admirável Gado Novo	127
Eleanor Rigby	701
Socorro	1275
Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos)	128
Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos)	1848
Comin' Home	702
I Need Love	1276
Drifter	129
Love Child	703
You Keep On Moving	1849
Child In Time	130
Flight Of The Rat	704
Into The Fire	1277
No No No	131
No No No	1850
Strange Kind Of Woman	705
No One Came	1278
Knocking At Your Back Door	132
Nobody's Home	1851
Black Night	706
The Unwritten Law	133
Hush	1279
Maybe I'm A Leo	134
Maybe I'm A Leo	1852
Pictures Of Home	707
Space Truckin'	1280
Vavoom : Ted The Mechanic	135
Sometimes I Feel Like Screaming	1853
Cascades : I'm Not Your Lover	708
A Touch Away	1281
Hey Cisco	136
King Of Dreams	1854
The Cut Runs Deep	709
Love Conquers All	1282
Fortuneteller	137
Stormbringer	1855
Love Don't Mean a Thing	710
You Can't Do it Right (With the One You Love)	1283
High Ball Shooter	138
The Battle Rages On	1856
Lick It Up	711
Ramshackle Man	1284
A Twist In The Tail	139
One Man's Meat	1857
Pour Some Sugar On Me	712
Two Steps Behind [Acoustic Version]	1285
Animal	140
When Love & Hate Collide	1858
Action	713
Rock Of Ages	1286
Hysteria	141
Otay	1859
Groovus Interruptus	714
Outbreak	1287
Baltimore, DC	142
Cigano	715
Álibi	1288
Álibi	1860
Esquinas	143
Esquinas	1861
Se...	1862
Lilás	1863
Acelerou	716
Um Amor Puro	1864
Nem Um Dia	1865
Oceano	1289
Açai	144
Açai	1866
Flor De Lis	1867
Azul	717
Azul	1868
Acelerou	1869
Um Amor Puro	145
Atrás da Porta	1870
Dois Pra Lá, Dois Pra Cá	718
Dois Pra Lá, Dois Pra Cá	1290
Casa no Campo	1291
Romaria	1292
Alô, Alô, Marciano	1871
Me Deixas Louca	1293
Fascinação	146
Saudosa Maloca	1294
As Aparências Enganam	1872
Madalena	1295
Maria Rosa	719
Aprendendo A Jogar	1296
Layla	1873
Badge	1297
Sunshine Of Your Love	147
Sunshine Of Your Love	1298
Crossroads	1874
Bell Bottom Blues	1299
After Midnight	1875
Swing Low Sweet Chariot	1300
Lay Down Sally	148
Lay Down Sally	720
Knockin On Heavens Door	721
Wonderful Tonight	722
Let It Grow	1301
Promises	723
Promises	1876
Signe	724
Before You Accuse Me	1302
Hey Hey	725
Tears In Heaven	149
Lonely Stranger	726
Lonely Stranger	1877
Nobody Knows You When You're Down & Out	1303
Layla	727
Walkin' Blues	728
Alberta	1304
San Francisco Bay Blues	1878
Old Love	729
Stripsearch	1305
Last Cup Of Sorrow	730
Last Cup Of Sorrow	1879
Naked In Front Of The Computer	150
Helpless	151
Mouth To Mouth	152
Ashes To Ashes	731
She Loves Me Not	153
She Loves Me Not	1306
Got That Feeling	1880
Paths Of Glory	154
Home Sick Home	732
Pristina	155
Caffeine	156
Caffeine	1307
Midlife Crisis	733
Midlife Crisis	1881
RV	157
Everything's Ruined	158
Malpractice	734
Kindergarten	1308
Be Aggressive	1882
A Small Victory	159
Midnight Cowboy	735
Easy	160
Easy	1309
Get Out	1883
The Gentle Art Of Making Enemies	161
Star A.D.	736
Cuckoo For Caca	1310
Ugly In The Morning	162
Take This Bottle	1884
King For A Day	737
What A Day	163
What A Day	1311
From Out Of Nowhere	164
Epic	738
Falling To Pieces	1312
Surprise! You're Dead!	1885
Underwater Love	165
The Morning After	739
Woodpecker From Mars	1313
Falamansa Song	166
Falamansa Song	1886
Xote Dos Milagres	740
Zeca Violeiro	1314
Avisa	167
Principiando/Decolagem	741
Medo De Escuro	1887
Desaforo	168
In Your Honor	742
No Way Back	1315
The Last Song	169
The Last Song	1888
Free Me	743
Still	1316
What If I Do?	170
Friend Of A Friend	1889
Over And Out	744
Virginia Moon	171
Razor	1317
Times Like These	172
Times Like These	1890
Disenchanted Lullaby	745
Overdrive	1318
Burn Away	173
Monkey Wrench	1891
Hey, Johnny Park!	746
My Hero	1319
See You	174
Everlong	1892
Walking After You	747
New York, New York	1320
I Get A Kick Out Of You	175
What Now My Love	1893
Summer Love	748
My Kind Of Town	1321
Fly Me To The Moon	176
It Was A Very Good Year	1894
Come Fly With Me	749
Bad, Bad Leroy Brown	1322
Mack The Knife	177
Entrando Na Sua (Intro)	1895
Nervosa	750
Zambação	1323
Funk Hum	178
Dujji	1896
Meu Guarda-Chuva	751
Divirta-Se (Saindo Da Sua)	1324
Forty Days Instrumental	179
Esperando Na Janela	1897
Juazeiro	752
Assum Preto	1325
Pau-De-Arara	180
Lamento Sertanejo	753
Is This Love (Live)	1326
Is This Love (Live)	1898
Stir It Up (Live)	181
Stir It Up (Live)	1899
Refavela (Live)	1900
Quanta (Live)	1901
Estrela (Live)	754
Pela Internet (Live)	1902
Opachorô (Live)	1903
Copacabana (Live)	1327
A Novidade (Live)	182
A Novidade (Live)	1904
De Ouro E Marfim (Live)	1905
Lamento De Carnaval	755
Lamento De Carnaval	1906
Refazenda	1907
Realce	183
A Paz	1908
Beira Mar	756
Beira Mar	1328
Sampa	1329
Parabolicamará	1330
Tempo Rei	1909
Expresso 2222	1331
Aquele Abraço	184
Palco	1332
Toda Menina Baiana	1910
Sítio Do Pica-Pau Amarelo	1333
Straight Out Of Line	757
Faceless	1334
Changes	1911
Make Me Believe	1335
Re-Align	185
Re-Align	1336
I Fucking Hate You	1912
I Am	1337
American Idiot	1913
Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home	1338
Holiday	186
Holiday	758
Boulevard Of Broken Dreams	759
Are We The Waiting	760
St. Jimmy	1339
Give Me Novacaine	761
Give Me Novacaine	1914
Extraordinary Girl	762
Letterbomb	1340
Wake Me Up When September Ends	763
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again	187
Whatsername	764
Whatsername	1915
Welcome to the Jungle	1341
It's So Easy	765
Out Ta Get Me	766
Mr. Brownstone	1342
Paradise City	1916
Think About You	767
Anything Goes	1343
Rocket Queen	768
Rocket Queen	1917
Right Next Door to Hell	188
Dust N' Bones	189
Live and Let Die	190
Don't Cry (Original)	769
Perfect Crime	191
Perfect Crime	1344
You Ain't the First	1918
Bad Obsession	192
Back off Bitch	770
Double Talkin' Jive	193
The Garden	194
The Garden	1345
Garden of Eden	771
Garden of Eden	1919
Don't Damn Me	195
Dead Horse	196
Coma	772
Civil War	1346
14 Years	1920
Yesterdays	197
Shotgun Blues	773
Breakdown	198
Breakdown	1347
Pretty Tied Up	1921
Estranged	199
You Could Be Mine	774
Don't Cry	1348
Colibri	200
Magnetic Ocean	1922
Deep Waters	775
L'Arc En Ciel De Miles	201
L'Arc En Ciel De Miles	1349
Millenium	202
Thinking 'Bout Tomorrow	776
Jacob's Ladder	1350
She Wears Black	1923
These Colours Don't Run	203
Brighter Than a Thousand Suns	777
The Pilgrim	1351
For the Greater Good of God	204
For the Greater Good of God	1924
Lord of Light	778
The Trooper	1352
Prowler	205
Transylvania	779
Where Eagles Dare	1925
Run To The Hilss	206
2 Minutes To Midnight	780
Iron Maiden	1353
Can I Play With Madness	207
Can I Play With Madness	1926
Wasting Love	781
Bring Your Daughter... To The Slaughter	1354
Heaven Can Wait	208
The Wicker Man	1927
Ghost Of The Navigator	782
Blood Brothers	209
Dream Of Mirrors	1355
The Thin Line Between Love & Hate	210
The Thin Line Between Love & Hate	1928
Wildest Dreams	783
Dance Of Death	1356
Gates Of Tomorrow	211
Face In The Sand	1929
Age Of Innocence	784
Afraid To Shoot Strangers	1357
Fear Is The Key	212
The Fugitive	1930
Chains Of Misery	785
Fear Of The Dark	1358
01 - Prowler	213
04 - Running Free	1931
05 - Phantom of the Opera	786
09 - Iron Maiden	1359
The Ides Of March	214
Another Life	1932
Genghis Khan	787
Purgatory	1360
Drifter	215
2 Minutes To Midnight	1933
The Trooper	788
Powerslave	1361
The Number Of The Beast	216
Run To The Hills	1934
Running Free	789
Die With Your Boots On	1362
Phantom Of The Opera	217
Wrathchild	1935
From Here To Eternity	790
The Evil That Men Do	1363
Afraid To Shoot Strangers	218
Heaven Can Wait	791
Hallowed Be Thy Name	1364
Hallowed Be Thy Name	1936
The Trooper	219
The Trooper	1937
Sanctuary	1938
Tailgunner	1939
Holy Smoke	792
No Prayer For The Dying	1940
Fates Warning	1941
The Assassin	1365
Run Silent Run Deep	220
Run Silent Run Deep	1942
Bring Your Daughter... ...To The Slaughter	1943
Where Eagles Dare	793
Where Eagles Dare	1944
The Trooper	1945
Still Life	221
To Tame A Land	1946
Aces High	794
Aces High	1366
2 Minutes To Midnight	1367
Losfer Words	1368
Flash of The Blade	1947
Duelists	1369
Back in the Village	222
Powerslave	1370
Rime of the Ancient Mariner	1948
Intro	1371
The Wicker Man	795
Ghost Of The Navigator	1372
Brave New World	1949
Wrathchild	1373
Blood Brothers	223
Blood Brothers	1374
Sign Of The Cross	1950
Dream Of Mirrors	1375
Fear Of The Dark	1951
Iron Maiden	1376
The Number Of The Beast	224
The Number Of The Beast	796
Hallowed Be Thy Name	797
Sanctuary	798
Run To The Hills	1377
Moonchild	799
Moonchild	1952
Can I Play With Madness	800
The Evil That Men Do	1378
Seventh Son of a Seventh Son	801
The Prophecy	225
The Clairvoyant	802
The Clairvoyant	1953
Only the Good Die Young	1379
Caught Somewhere in Time	803
Sea of Madness	804
Heaven Can Wait	1380
Stranger in a Strange Land	1954
De Ja Vu	805
Children of the Damned	1381
Gangland	806
Gangland	1955
Hallowed Be Thy Name	226
Invaders	227
Run to the Hills	228
The Number Of The Beast	807
The Prisoner	229
The Prisoner	1382
Sign Of The Cross	1956
Lord Of The Flies	230
Man On The Edge	808
Fortunes Of War	231
The Aftermath	232
The Aftermath	1383
Judgement Of Heaven	809
Judgement Of Heaven	1957
Blood On The World's Hands	233
2 A.M.	234
The Unbeliever	810
Futureal	1384
The Angel And The Gambler	1958
Lightning Strikes Twice	235
The Educated Fool	811
Don't Look To The Eyes Of A Stranger	236
Don't Look To The Eyes Of A Stranger	1385
Como Estais Amigos	1959
Night Train	237
Out Of Sight	812
Papa's Got A Brand New Bag Pt.1	1386
It's A Man's Man's Man's World	238
Say It Loud, I'm Black And I'm Proud Pt.1	1960
Get Up (I Feel Like Being A) Sex Machine	813
Hey America	239
Hey America	1387
Get Up Offa That Thing	240
It's Too Funky In Here	814
Living In America	1388
I'm Real	1961
When You Gonna Learn (Digeridoo)	241
Too Young To Die	815
Hooked Up	1389
Whatever It Is, I Just Can't Stop	242
Whatever It Is, I Just Can't Stop	1962
Blow Your Mind	816
Planet Home	1390
Black Capricorn Day	243
Soul Education	817
Destitute Illusions	1963
Were Do We Go From Here	244
King For A Day	818
Deeper Underground	1391
Light Years	245
Light Years	1964
Manifest Destiny	819
Journey To Arnhemland	1392
Morning Glory	246
Are You Gonna Be My Girl	1965
Rollover D.J.	820
Get What You Need	247
Radio Song	1393
Take It Or Leave It	248
Take It Or Leave It	1966
Lazy Gun	821
Red House	1394
Can You See Me	249
May This Be Love	1967
Fire	822
Hey Joe	1395
Stone Free	250
The Wind Cries Mary	1968
Highway Chile	823
Always With Me, Always With You	1396
Satch Boogie	251
Lords of Karma	1969
Midnight	824
Mama Africa	1397
Salve Simpatia	252
Os Alquimistas Estão Chegando	1970
Charles Anjo 45	825
Santa Clara Clareou	1398
Filho Maravilha	253
As Dores do Mundo	1971
Vou Pra Ai	826
Encontrar Alguém	1399
Dance Enquanto é Tempo	254
Sem Sentido	1972
Onibusfobia	827
No Futuro	1400
Voce Inteira	255
Equinocio	1973
Papelão	828
Cafezinho	1401
Enquanto O Dia Não Vem	256
Hot Rockin'	829
You've Got Another Thing Comin'	1402
You've Got Another Thing Comin'	1974
Turbo Lover	257
Turbo Lover	1975
Freewheel Burning	1976
Metal Meltdown	1977
Ram It Down	830
Diamonds And Rust (Live)	1978
Tyrant (Live)	1979
Comin' Home	1403
Plaster Caster	258
Plaster Caster	1980
Do You Love Me	1981
Sure Know Something	831
Sure Know Something	1982
I Still Love You	1983
Every Time I Look At You	259
Nothin' To Lose	1984
Rock And Roll All Nite	832
Rock And Roll All Nite	1404
Immigrant Song	1405
Heartbreaker	1406
Since I've Been Loving You	1985
Black Dog	1407
Dazed And Confused	260
Stairway To Heaven	1408
Going To California	1986
That's The Way	1409
Whole Lotta Love (Medley)	833
Thank You	1410
We're Gonna Groove	1987
Poor Tom	1411
Walter's Walk	261
Walter's Walk	1412
Ozone Baby	1988
Wearing And Tearing	1413
Over The Hills And Far Away	1989
The Crunge	1414
Dancing Days	262
Dancing Days	834
D'Yer Mak'er	835
No Quarter	836
The Ocean	1415
In The Evening	837
In The Evening	1990
Fool In The Rain	838
Hot Dog	1416
Carouselambra	839
All My Love	263
I'm Gonna Crawl	840
I'm Gonna Crawl	1991
Black Dog	1417
Rock & Roll	841
Stairway To Heaven	842
Misty Mountain Hop	1418
Four Sticks	1992
When The Levee Breaks	843
You Shook Me	1419
Dazed and Confused	844
Dazed and Confused	1993
Your Time Is Gonna Come	264
Black Mountain Side	265
Communication Breakdown	266
I Can't Quit You Baby	845
How Many More Times	267
How Many More Times	1420
Whole Lotta Love	1994
What Is And What Should Never Be	268
The Lemon Song	846
Thank You	269
Living Loving Maid (She's Just A Woman)	270
Living Loving Maid (She's Just A Woman)	1421
Ramble On	847
Ramble On	1995
Moby Dick	271
Immigrant Song	272
Friends	848
Celebration Day	1422
Since I've Been Loving You	1996
Out On The Tiles	273
That's The Way	849
Bron-Y-Aur Stomp	274
Bron-Y-Aur Stomp	1423
Hats Off To (Roy) Harper	1997
Down By The Seaside	275
Ten Years Gone	850
Night Flight	1424
Boogie With Stu	276
Sick Again	1998
Achilles Last Stand	851
For Your Life	277
For Your Life	1425
Hots On For Nowhere	278
Tea For One	852
Rock & Roll	1426
Celebration Day	1999
Dazed And Confused	279
No Quarter	853
Stairway To Heaven	1427
L'Avventura	280
L'Avventura	2000
Música De Trabalho	854
Aloha	1428
Soul Parsifal	281
Dezesseis	855
Leila	2001
Quando Você Voltar	282
O Livro Dos Dias	856
Será	1429
Tempo Perdido	283
Tempo Perdido	2002
Indios	857
Pais E Filhos	1430
Meninos E Meninas	284
Giz	2003
Dezesseis	858
Are You Gonna Go My Way	285
Rock And Roll Is Dead	1431
Mr. Cab Driver	286
Mr. Cab Driver	2004
American Woman	859
I Belong To You	1432
Believe	287
Assim Caminha A Humanidade	2005
Honolulu	860
Casa	1433
Condição	288
Satisfação	2006
Brumário	861
A Cura	1434
Aquilo	289
Ro-Que-Se-Da-Ne	2007
Tudo Bem	862
Sereia	1435
Assaltaram A Gramática	290
O Último Romântico (Ao Vivo)	2008
Pseudo Silk Kimono	863
Heart Of Lothian: Wide Boy / Curtain Call	1436
Waterhole (Expresso Bongo)	291
Childhoods End?	2009
White Feather	864
Cérebro Eletrônico	1437
Tempos Modernos	292
Panis Et Circenses	2010
De Noite Na Cama	865
A Menina Dança	1438
Dança Da Solidão	293
Segue O Seco	2011
O Xote Das Meninas	866
You've Been A Long Time Coming	1439
When I Had Your Love	294
Seek And You Shall Find	867
Abraham, Martin And John	1440
Abraham, Martin And John	2012
Save The Children	295
Save The Children	2013
You Sure Love To Ball	2014
Praise	2015
Heavy Love Affair	868
Down Under	2016
Be Good Johnny	2017
Everything I Need	1441
Down by the Sea	296
Down by the Sea	2018
It's a Mistake	2019
Shakes and Ladders	869
Shakes and Ladders	2020
Holier Than Thou	2021
The Unforgiven	297
Through The Never	2022
Nothing Else Matters	870
Nothing Else Matters	1442
Of Wolf And Man	1443
The God That Failed	1444
My Friend Of Misery	2023
The Struggle Within	1445
Helpless	298
The Small Hours	1446
The Wait	2024
Crash Course In Brain Surgery	1447
Last Caress/Green Hell	871
Am I Evil?	1448
Blitzkrieg	2025
Breadfan	1449
Stone Cold Crazy	299
Stone Cold Crazy	1450
So What	2026
Damage Case	1451
Hit The Lights	2027
The Four Horsemen	1452
Motorbreath	300
Motorbreath	872
Jump In The Fire	873
(Anesthesia) Pulling Teeth	874
Whiplash	1453
Phantom Lord	875
